strata,model_name,year,variable,pred,pred_lci,pred_uci,obs,obs_cv,obs_lci,obs_uci
EBSskates,M23_EBSshelf,1999,biomass_pred,19631.79237449552,13387.077547805055,28789.500207122637,15867.099999999999,0.4279083687558593,7103.3052429772615,35443.33993796893
EBSskates,M23_EBSshelf,2000,biomass_pred,20332.752597730534,15397.351883538711,26850.125354510175,24597.92,0.2129047280676111,16280.895001825807,37163.66135022348
EBSskates,M23_EBSshelf,2001,biomass_pred,18695.767498957717,15092.250161886763,23159.68252751165,17255.61,0.14962296024517294,12890.664504029903,23098.58241823105
EBSskates,M23_EBSshelf,2002,biomass_pred,19004.516970237994,15466.788537859113,23351.432289127082,18538.01,0.14417448189919072,13994.978006255942,24555.79527216693
EBSskates,M23_EBSshelf,2003,biomass_pred,19975.92422865862,15437.511466972428,25848.566956068393,32081.32,0.24418225915760067,20017.320040346127,51416.028262922424
EBSskates,M23_EBSshelf,2004,biomass_pred,16738.886019936162,13698.069079215908,20454.73004757636,14553.02,0.1251580412520695,11398.090724601125,18581.21647192029
EBSskates,M23_EBSshelf,2005,biomass_pred,18000.335263371173,14097.447426882985,22983.740232000597,20614.760000000002,0.2520214570138077,12675.092560819117,33527.828520262694
EBSskates,M23_EBSshelf,2006,biomass_pred,18211.014100528944,14676.592526157356,22596.59617711651,18392.47,0.1519086347260068,13679.555236622005,24729.090006908307
EBSskates,M23_EBSshelf,2007,biomass_pred,18203.639340849597,14268.390909593994,23224.236520525512,17108.4,0.21442557841973833,11291.12745385904,25922.774475454433
EBSskates,M23_EBSshelf,2008,biomass_pred,18905.689678475854,14784.46726740424,24175.717376496505,19495.010000000002,0.21863246979194353,12764.13181469519,29775.265597190664
EBSskates,M23_EBSshelf,2009,biomass_pred,19280.415480140193,15402.975111433158,24133.93635953501,20031.75,0.17027882197143876,14381.750517407083,27901.40237635318
EBSskates,M23_EBSshelf,2010,biomass_pred,18947.25251102912,15179.34892448628,23650.446373071234,18782.43,0.16315704626466834,13670.468781405714,25805.967764963774
EBSskates,M23_EBSshelf,2011,biomass_pred,18792.208307421355,14568.546204687394,24240.379795472796,17691.3,0.24638970273416383,10992.966390901402,28471.122767103825
EBSskates,M23_EBSshelf,2012,biomass_pred,19174.981792162343,15174.365173246088,24230.333363666086,16525.2,0.15149680763748255,12300.514172947356,22200.87967059074
EBSskates,M23_EBSshelf,2013,biomass_pred,23461.46866796929,18325.201223564098,30037.351587184836,26689.59,0.23214446422366014,17034.422471818365,41817.33871791552
EBSskates,M23_EBSshelf,2014,biomass_pred,26817.734881873042,21197.43422599821,33928.20548594308,24291.48,0.17886975744019265,17155.244855124347,34396.24473877111
EBSskates,M23_EBSshelf,2015,biomass_pred,33441.93631666138,25863.276171076242,43241.3549316052,39161.54,0.2268562224743315,25245.086696514958,60749.49290561618
EBSskates,M23_EBSshelf,2016,biomass_pred,38221.0771392033,29659.984058535916,49253.25431051631,36652.06,0.19413939744643524,25140.43100081431,53434.78408146962
EBSskates,M23_EBSshelf,2017,biomass_pred,45076.24595810436,33164.31619701846,61266.692115852784,65643.73,0.3270658949903848,35142.84042594845,122616.70474226047
EBSskates,M23_EBSshelf,2018,biomass_pred,47982.930645718996,36227.76866176836,63552.3996757104,63921.33,0.21592140942401541,42067.13214949598,97128.95127836411
EBSskates,M23_EBSshelf,2019,biomass_pred,42903.133442884835,33947.144272673315,54221.905808427255,37539.05,0.1620874981069803,27378.375177374248,51470.559000413676
EBSskates,M23_EBSshelf,2020,biomass_pred,44245.05515315666,32899.79892764535,59502.640420726195,NA,NA,NA,NA
EBSskates,M23_EBSshelf,2021,biomass_pred,45628.949412564,36025.701859263456,57792.101667520175,43811.549999999996,0.16840043465634497,31567.9836540619,60803.75403246643
EBSskates,M23_EBSshelf,2022,biomass_pred,48989.819293548746,38424.77381169543,62459.7663521982,45362.61,0.1728450548159451,32408.093764580397,63495.44656838416
EBSskates,M23_EBSshelf,2023,biomass_pred,56547.68476711515,39861.97204181017,80217.82387401971,80943.78,0.26780816478475344,48323.74839587779,135583.34645346535
EBSskates,M23_EBSshelf,2024,biomass_pred,56547.68476711515,35052.94842021755,91223.15801191541,NA,NA,NA,NA
AIskates,M23_AI,2000,biomass_pred,30158.59693177004,25406.74098398125,35799.19870346329,29218.8,0.09192773625129978,24410.569253396006,34974.123895993485
AIskates,M23_AI,2001,biomass_pred,32771.17760717262,25601.348759316166,41948.96494935832,NA,NA,NA,NA
AIskates,M23_AI,2002,biomass_pred,35610.08107209114,29705.797067547333,42687.89257118569,34465.1,0.10990287132589142,27804.219195968377,42721.68585774341
AIskates,M23_AI,2003,biomass_pred,41092.34232105538,31596.700601740962,53441.674772136146,NA,NA,NA,NA
AIskates,M23_AI,2004,biomass_pred,47418.611432317084,37272.75334877828,60326.230507539745,53224.8,0.16433293947715258,38651.32596197955,73293.19925082636
AIskates,M23_AI,2005,biomass_pred,49723.520872730835,37813.83111620911,65384.23785684806,NA,NA,NA,NA
AIskates,M23_AI,2006,biomass_pred,52140.466650102426,42529.81134472557,63922.885536796544,54210,0.11676730345504006,43154.21424294135,68098.19507907459
AIskates,M23_AI,2007,biomass_pred,51312.29173323083,37889.27020379339,69490.6834772601,NA,NA,NA,NA
AIskates,M23_AI,2008,biomass_pred,50497.271161477256,36335.59522107861,70178.41263479562,NA,NA,NA,NA
AIskates,M23_AI,2009,biomass_pred,49695.19599734336,36780.387424973014,67144.82032719326,NA,NA,NA,NA
AIskates,M23_AI,2010,biomass_pred,48905.86062199652,40171.514575794514,59539.28370476048,51941.200000000004,0.11351646444517109,41609.808167735755,64837.7960927959
AIskates,M23_AI,2011,biomass_pred,43381.19111055441,33682.68230167693,55872.26472390389,NA,NA,NA,NA
AIskates,M23_AI,2012,biomass_pred,38480.61803300541,31677.806229318434,46744.33429773274,35404.9,0.11870816777753898,28078.381826224166,44643.13334607025
AIskates,M23_AI,2013,biomass_pred,38929.55582667069,30250.95712430086,50097.92948483098,NA,NA,NA,NA
AIskates,M23_AI,2014,biomass_pred,39383.7311958449,32455.586423214438,47790.79517100114,42904.8,0.11615371408896404,34195.324351029114,53832.56038583536
AIskates,M23_AI,2015,biomass_pred,34599.6095163128,26748.471242811294,44755.192467422035,NA,NA,NA,NA
AIskates,M23_AI,2016,biomass_pred,30396.63694453679,24509.48294102208,37697.87962321855,27767.5,0.13667853712665864,21268.345714239425,36252.65766362747
AIskates,M23_AI,2017,biomass_pred,29748.02528112765,22727.214681873356,38937.67980431053,NA,NA,NA,NA
AIskates,M23_AI,2018,biomass_pred,29113.253868884443,23330.789865277744,36328.883665251975,29489.2,0.1363254459066244,22602.492958336563,38474.20363067769
AIskates,M23_AI,2019,biomass_pred,28056.95506570763,20227.312369912546,38917.317000060764,NA,NA,NA,NA
AIskates,M23_AI,2020,biomass_pred,27038.98132116623,18566.07403640643,39378.62735292022,NA,NA,NA,NA
AIskates,M23_AI,2021,biomass_pred,26057.94211004618,17648.535623721546,38474.37325609306,NA,NA,NA,NA
AIskates,M23_AI,2022,biomass_pred,25112.497358729303,17306.652467159525,36439.02394116142,23011.2,0.23152750490333812,14703.805309540947,36012.12844517263
AIskates,M23_AI,2023,biomass_pred,25112.497358729303,15653.410421035147,40287.54799303874,NA,NA,NA,NA
AIskates,M23_AI,2024,biomass_pred,25112.497358729303,14413.358785681217,43753.68246703785,NA,NA,NA,NA
Slopeskates,M23_EBSslope,2002,biomass_pred,38229.847515108144,24616.30348587488,59372.08410950321,69232.23009804,0.4964089807474936,27593.588875134556,173703.45358255183
Slopeskates,M23_EBSslope,2003,biomass_pred,36034.813917193766,26063.833956522198,49820.29183476453,NA,NA,NA,NA
Slopeskates,M23_EBSslope,2004,biomass_pred,33965.81201464696,29064.357055238692,39693.855385195646,33156.390091874004,0.0829519231961137,28188.98574870194,38999.14007992083
Slopeskates,M23_EBSslope,2005,biomass_pred,34583.19584674574,26110.957498257023,45804.426553649275,NA,NA,NA,NA
Slopeskates,M23_EBSslope,2006,biomass_pred,35211.80163331965,25793.398214694127,48069.3146340801,NA,NA,NA,NA
Slopeskates,M23_EBSslope,2007,biomass_pred,35851.8333516283,27113.8957807254,47405.72749367333,NA,NA,NA,NA
Slopeskates,M23_EBSslope,2008,biomass_pred,36503.49868654956,31427.10640257554,42399.876058895534,36384.290317700004,0.08305961261477827,30926.795540363993,42804.84152310263
Slopeskates,M23_EBSslope,2009,biomass_pred,37556.88798695093,29267.003829983434,48194.88333887226,NA,NA,NA,NA
Slopeskates,M23_EBSslope,2010,biomass_pred,38640.67516860003,31249.405579284958,47780.16572817728,35177.452242774,0.12031715310106103,27811.089313341166,44494.95423751811
Slopeskates,M23_EBSslope,2011,biomass_pred,45881.10432568034,35771.50519962718,58847.837752320884,NA,NA,NA,NA
Slopeskates,M23_EBSslope,2012,biomass_pred,54478.23375132382,43969.85656871163,67498.01305414723,59686.98085824,0.10179801328852381,48916.1446676057,72829.44533302849
Slopeskates,M23_EBSslope,2013,biomass_pred,53265.09770648943,39281.28558498547,72227.0310513035,NA,NA,NA,NA
Slopeskates,M23_EBSslope,2014,biomass_pred,52078.97610323898,37504.74989150723,72316.70014618352,NA,NA,NA,NA
Slopeskates,M23_EBSslope,2015,biomass_pred,50919.26737668041,37657.258495793816,68851.84672876474,NA,NA,NA,NA
Slopeskates,M23_EBSslope,2016,biomass_pred,49785.38335773101,40510.00703694221,61184.49680386254,49151.60864115,0.11205531481598198,39486.939305678854,61181.7647681124
Slopeskates,M23_EBSslope,2017,biomass_pred,49785.38335773101,34871.942728734044,71076.75116803622,NA,NA,NA,NA
Slopeskates,M23_EBSslope,2018,biomass_pred,49785.38335773101,31448.5222447075,78814.0179303135,NA,NA,NA,NA
Slopeskates,M23_EBSslope,2019,biomass_pred,49785.38335773101,28914.04804819271,85722.4969656632,NA,NA,NA,NA
Slopeskates,M23_EBSslope,2020,biomass_pred,49785.38335773101,26887.42024024161,92183.79353355052,NA,NA,NA,NA
