Alternative Spp Yr  ABC OFL Catch SSB F Tot_biom SPR_Implied Ntot SexRatio
1 EBS_SKATE 2020 34527 40098.6 14794 124449 0.0332372 519441 0.660121 37594.6 0.5
1 EBS_SKATE 2021 33268.1 38637.5 17263 124142 0.0403861 504781 0.607707 37257.5 0.5
1 EBS_SKATE 2022 31915.5 37068.1 17263 121575 0.0421361 488097 0.595705 36175.2 0.5
1 EBS_SKATE 2023 30763.9 35731.9 30763.9 115692 0.079212 473055 0.4 34682.1 0.5
1 EBS_SKATE 2024 28911.5 33581.4 28911.5 106776 0.079212 446988 0.4 31877.2 0.5
1 EBS_SKATE 2025 27389.7 31814.2 27389.7 98191.6 0.079212 425809 0.4 29327.5 0.5
1 EBS_SKATE 2026 26122.8 30343 26122.8 90587.9 0.079212 410308 0.4 27176.5 0.5
1 EBS_SKATE 2027 25111.1 29168.7 25111.1 84277.4 0.079212 399244 0.4 25443.9 0.5
1 EBS_SKATE 2028 24404.2 28349 24404.2 79193.7 0.079212 392903 0.4 24052.7 0.5
1 EBS_SKATE 2029 24043.4 27931.3 24043.4 75052.5 0.079212 391242 0.4 22908.5 0.5
1 EBS_SKATE 2030 24033.7 27865 24033.7 71608.7 0.079212 393581 0.4 21975.3 0.5
1 EBS_SKATE 2031 23489.9 27157.2 23489.9 68917.9 0.0763471 398579 0.411889 21274.3 0.5
1 EBS_SKATE 2032 23445 27112.4 23445 67206.4 0.0743476 406888 0.420451 20921.1 0.5
1 EBS_SKATE 2033 23875.2 27612.2 23875.2 66535.6 0.0735639 416143 0.423869 20921.4 0.5
1 EBS_SKATE 2020 34527 40098.6 14794 124449 0.0332372 519441 0.660121 37594.6 0.5
1 EBS_SKATE 2021 33268.1 38637.5 17263 124142 0.0403861 505994 0.607707 37257.5 0.5
1 EBS_SKATE 2022 31923.8 37077.7 17263 121576 0.0421252 491519 0.595779 36175.2 0.5
1 EBS_SKATE 2023 30807.3 35782.6 30807.3 115693 0.079212 480326 0.4 34682.4 0.5
1 EBS_SKATE 2024 29074.8 33772.1 29074.8 106777 0.079212 459946 0.4 31877.5 0.5
1 EBS_SKATE 2025 27865.1 32368.8 27865.1 98192.7 0.079212 445537 0.4 29327.8 0.5
1 EBS_SKATE 2026 27174.5 31568.4 27174.5 90588.8 0.079212 436161 0.4 27176.8 0.5
1 EBS_SKATE 2027 26907.2 31258.9 26907.2 84325.2 0.079212 430418 0.4 25494.4 0.5
1 EBS_SKATE 2028 26869.8 31215 26869.8 79508.9 0.079212 426199 0.4 24295.6 0.5
1 EBS_SKATE 2029 26853 31194.4 26853 76205.1 0.079212 422964 0.4 23586.4 0.5
1 EBS_SKATE 2030 26732.8 31053.8 26732.8 74388 0.079212 418969 0.4 23302.5 0.5
1 EBS_SKATE 2031 26477.4 30756.4 26477.4 73788.5 0.079212 413989 0.4 23294 0.5
1 EBS_SKATE 2032 26108.9 30328.1 26108.9 73847.5 0.079212 408274 0.4 23365.6 0.5
1 EBS_SKATE 2033 25677.8 29827.3 25677.8 73951.3 0.079212 401918 0.4 23359.6 0.5
1 EBS_SKATE 2020 34527 40098.6 14794 124449 0.0332372 519441 0.660121 37594.6 0.5
1 EBS_SKATE 2021 33268.1 38637.5 17263 124142 0.0403861 504867 0.607707 37257.5 0.5
1 EBS_SKATE 2022 31916.1 37068.8 17263 121575 0.0421353 488887 0.595711 36175.2 0.5
1 EBS_SKATE 2023 30770.7 35739.9 30770.7 115692 0.079212 474762 0.4 34682.1 0.5
1 EBS_SKATE 2024 28940.1 33614.9 28940.1 106776 0.079212 450631 0.4 31877.2 0.5
1 EBS_SKATE 2025 27487.4 31928.3 27487.4 98191.7 0.079212 433455 0.4 29327.6 0.5
1 EBS_SKATE 2026 26388.6 30653.1 26388.6 90588 0.079212 421954 0.4 27176.6 0.5
1 EBS_SKATE 2027 25668.5 29818 25668.5 84280.8 0.079212 416448 0.4 25447.5 0.5
1 EBS_SKATE 2028 25379.5 29484.1 25379.5 79237.2 0.079212 415613 0.4 24092.6 0.5
1 EBS_SKATE 2029 25538.8 29670.9 25538.8 75262.5 0.079212 418569 0.4 23051.4 0.5
1 EBS_SKATE 2030 26053 30269 26053 72251.1 0.079212 423178 0.4 22322.8 0.5
1 EBS_SKATE 2031 26291.8 30390 26291.8 70306.2 0.0779691 429240 0.405104 21959.8 0.5
1 EBS_SKATE 2032 26595.4 30742.4 26595.4 69635.4 0.0771854 435025 0.408364 22028.8 0.5
1 EBS_SKATE 2033 27229.8 31471.5 27229.8 70277.7 0.0779358 439427 0.405242 22491.8 0.5
1 EBS_SKATE 2020 34527 40098.6 14794 124449 0.0332372 519441 0.660121 37594.6 0.5
1 EBS_SKATE 2021 33268.1 38637.5 17263 124142 0.0403861 505620 0.607707 37257.5 0.5
1 EBS_SKATE 2022 31921.2 37074.8 17263 121576 0.0421286 490856 0.595756 36175.2 0.5
1 EBS_SKATE 2023 30796.6 35770.1 30796.6 115693 0.079212 478991 0.4 34682.3 0.5
1 EBS_SKATE 2024 29037 33728 29037 106777 0.079212 457303 0.4 31877.4 0.5
1 EBS_SKATE 2025 27761.1 32247.6 27761.1 98192.3 0.079212 441429 0.4 29327.7 0.5
1 EBS_SKATE 2026 26963 31322.1 26963 90588.6 0.079212 429643 0.4 27176.7 0.5
1 EBS_SKATE 2027 26558.9 30853.7 26558.9 84310.4 0.079212 420855 0.4 25478.8 0.5
1 EBS_SKATE 2028 26351 30611.6 26351 79426.8 0.079212 413961 0.4 24236.9 0.5
1 EBS_SKATE 2029 26109 30329 26109 75943.6 0.079212 408000 0.4 23447.5 0.5
1 EBS_SKATE 2030 25711.5 29866 25711.5 73834.9 0.079212 403880 0.4 23054.5 0.5
1 EBS_SKATE 2031 25211.6 29285.2 25211.6 72866.4 0.079212 401225 0.4 22910.6 0.5
1 EBS_SKATE 2032 24775.5 28779.9 24775.5 72456.4 0.079212 401748 0.4 22795.5 0.5
1 EBS_SKATE 2033 24605.6 28584.6 24605.6 71922.7 0.079212 405195 0.4 22544.2 0.5
1 EBS_SKATE 2020 34527 40098.6 14794 124449 0.0332372 519441 0.660121 37594.6 0.5
1 EBS_SKATE 2021 33268.1 38637.5 17263 124142 0.0403861 505648 0.607707 37257.5 0.5
1 EBS_SKATE 2022 31921.4 37075 17263 121576 0.0421283 491229 0.595758 36175.2 0.5
1 EBS_SKATE 2023 30799.6 35773.6 30799.6 115693 0.079212 479902 0.4 34682.3 0.5
1 EBS_SKATE 2024 29050.7 33743.9 29050.7 106777 0.079212 460561 0.4 31877.4 0.5
1 EBS_SKATE 2025 27818.4 32314.4 27818.4 98192.4 0.079212 448566 0.4 29327.8 0.5
1 EBS_SKATE 2026 27142 31530.9 27142 90588.6 0.079212 443381 0.4 27176.7 0.5
1 EBS_SKATE 2027 27019.3 31390.3 27019.3 84311.6 0.079212 444322 0.4 25480 0.5
1 EBS_SKATE 2028 27359.9 31787.2 27359.9 79445.6 0.079212 448818 0.4 24254.8 0.5
1 EBS_SKATE 2029 27997.3 32527.7 27997.3 76043.2 0.079212 455969 0.4 23518.5 0.5
1 EBS_SKATE 2030 28741.2 33391.1 28741.2 74211.6 0.079212 462764 0.4 23291.7 0.5
1 EBS_SKATE 2031 29413.4 34170.8 29413.4 73945.1 0.079212 468054 0.4 23518.4 0.5
1 EBS_SKATE 2032 29884.1 34716.1 29884.1 75011 0.079212 470621 0.4 24079.6 0.5
1 EBS_SKATE 2033 30087.1 34950.6 30087.1 76936.1 0.079212 470160 0.4 24800.2 0.5
1 EBS_SKATE 2020 34527 40098.6 14794 124449 0.0332372 519441 0.660121 37594.6 0.5
1 EBS_SKATE 2021 33268.1 38637.5 17263 124142 0.0403861 505102 0.607707 37257.5 0.5
1 EBS_SKATE 2022 31917.7 37070.7 17263 121575 0.0421332 489101 0.595725 36175.2 0.5
1 EBS_SKATE 2023 30776 35746.1 30776 115692 0.079212 474395 0.4 34682.1 0.5
1 EBS_SKATE 2024 28952.4 33629.1 28952.4 106776 0.079212 448622 0.4 31877.3 0.5
1 EBS_SKATE 2025 27498.4 31941.1 27498.4 98191.9 0.079212 426919 0.4 29327.6 0.5
1 EBS_SKATE 2026 26324.6 30578 26324.6 90588.2 0.079212 408929 0.4 27176.6 0.5
1 EBS_SKATE 2027 25332.2 29425.2 25332.2 84290.1 0.079212 393837 0.4 25457.3 0.5
1 EBS_SKATE 2028 24437.6 28385.8 24437.6 79280.9 0.079212 381900 0.4 24121.1 0.5
1 EBS_SKATE 2029 23628.7 27446.4 23628.7 75349.8 0.079212 372727 0.4 23071.9 0.5
1 EBS_SKATE 2030 22967.2 26678.9 22967.2 72216.1 0.079212 366946 0.4 22211.1 0.5
1 EBS_SKATE 2031 21979.7 25405.9 21979.7 69619.9 0.0771673 364733 0.40844 21438.9 0.5
1 EBS_SKATE 2032 21173.2 24483 21173.2 67407.5 0.0745825 366466 0.419434 20765.8 0.5
1 EBS_SKATE 2033 20782.6 24039 20782.6 65521.2 0.0723787 371494 0.429104 20224.9 0.5
1 EBS_SKATE 2020 34527 40098.6 14794 124449 0.0332372 519441 0.660121 37594.6 0.5
1 EBS_SKATE 2021 33268.1 38637.5 17263 124142 0.0403861 505009 0.607707 37257.5 0.5
1 EBS_SKATE 2022 31917.1 37069.9 17263 121575 0.0421341 489091 0.595719 36175.2 0.5
1 EBS_SKATE 2023 30774.4 35744.2 30774.4 115692 0.079212 474489 0.4 34682.1 0.5
1 EBS_SKATE 2024 28948.4 33624.5 28948.4 106776 0.079212 448619 0.4 31877.2 0.5
1 EBS_SKATE 2025 27491.3 31932.8 27491.3 98191.8 0.079212 427786 0.4 29327.6 0.5
1 EBS_SKATE 2026 26329.3 30583.5 26329.3 90588.1 0.079212 410787 0.4 27176.6 0.5
1 EBS_SKATE 2027 25376.3 29476.7 25376.3 84286.4 0.079212 397503 0.4 25453.4 0.5
1 EBS_SKATE 2028 24559 28527.4 24559 79266.5 0.079212 388113 0.4 24112.9 0.5
1 EBS_SKATE 2029 23892.3 27753.6 23892.3 75324.4 0.079212 381870 0.4 23067.9 0.5
1 EBS_SKATE 2030 23473.3 27268.4 23473.3 72213.4 0.079212 378132 0.4 22223.7 0.5
1 EBS_SKATE 2031 22804.7 26360.5 22804.7 69707.4 0.0772695 377193 0.408013 21499.2 0.5
1 EBS_SKATE 2032 22278.3 25760.3 22278.3 67669.7 0.0748888 378218 0.418112 20919.2 0.5
1 EBS_SKATE 2033 22051.7 25503.8 22051.7 66147.3 0.0731102 380675 0.425863 20565.1 0.5
1 EBS_SKATE 2020 34527 40098.6 14794 124449 0.0332372 519441 0.660121 37594.6 0.5
1 EBS_SKATE 2021 33268.1 38637.5 17263 124142 0.0403861 505092 0.607707 37257.5 0.5
