species,sex,age,parameter,value,elasticity
EBS_SKATE,female,1,M_F,0.13,0.142728
EBS_SKATE,female,1,sel_F,0,0
EBS_SKATE,female,1,wt_mature_F,0,0
EBS_SKATE,female,2,M_F,0.13,0.142728
EBS_SKATE,female,2,sel_F,0.01,0.0008373
EBS_SKATE,female,2,wt_mature_F,0,0
EBS_SKATE,female,3,M_F,0.13,0.142728
EBS_SKATE,female,3,sel_F,0.023,0.00192579
EBS_SKATE,female,3,wt_mature_F,0,0
EBS_SKATE,female,4,M_F,0.13,0.142728
EBS_SKATE,female,4,sel_F,0.068,0.00569364
EBS_SKATE,female,4,wt_mature_F,0,0
EBS_SKATE,female,5,M_F,0.13,0.142728
EBS_SKATE,female,5,sel_F,0.182,0.0152389
EBS_SKATE,female,5,wt_mature_F,0,0
EBS_SKATE,female,6,M_F,0.13,0.142728
EBS_SKATE,female,6,sel_F,0.374,0.031315
EBS_SKATE,female,6,wt_mature_F,0,0
EBS_SKATE,female,7,M_F,0.13,0.142652
EBS_SKATE,female,7,sel_F,0.601,0.0502947
EBS_SKATE,female,7,wt_mature_F,0.01008,-0.00101108
EBS_SKATE,female,8,M_F,0.13,0.142126
EBS_SKATE,female,8,sel_F,0.796,0.0663677
EBS_SKATE,female,8,wt_mature_F,0.075478,-0.00621055
EBS_SKATE,female,9,M_F,0.13,0.140177
EBS_SKATE,female,9,sel_F,0.918,0.0754899
EBS_SKATE,female,9,wt_mature_F,0.319135,-0.0212689
EBS_SKATE,female,10,M_F,0.13,0.135415
EBS_SKATE,female,10,sel_F,0.974,0.0773743
EBS_SKATE,female,10,wt_mature_F,0.888063,-0.0475971
EBS_SKATE,female,11,M_F,0.13,0.126853
EBS_SKATE,female,11,sel_F,0.994,0.0739705
EBS_SKATE,female,11,wt_mature_F,1.83606,-0.0789069
EBS_SKATE,female,12,M_F,0.13,0.114689
EBS_SKATE,female,12,sel_F,0.999,0.067214
EBS_SKATE,female,12,wt_mature_F,3.02135,-0.104039
EBS_SKATE,female,13,M_F,0.13,0.100281
EBS_SKATE,female,13,sel_F,1,0.0588287
EBS_SKATE,female,13,wt_mature_F,4.19266,-0.115689
EBS_SKATE,female,14,M_F,0.13,0.0853481
EBS_SKATE,female,14,sel_F,1,0.0500685
EBS_SKATE,female,14,wt_mature_F,5.16679,-0.114282
EBS_SKATE,female,15,M_F,0.13,0.0712358
EBS_SKATE,female,15,sel_F,1,0.0417897
EBS_SKATE,female,15,wt_mature_F,5.88983,-0.104466
EBS_SKATE,female,16,M_F,0.13,0.0586714
EBS_SKATE,female,16,sel_F,1,0.0344189
EBS_SKATE,female,16,wt_mature_F,6.4009,-0.0910663
EBS_SKATE,female,17,M_F,0.13,0.0479053
EBS_SKATE,female,17,sel_F,1,0.0281031
EBS_SKATE,female,17,wt_mature_F,6.73893,-0.0769234
EBS_SKATE,female,18,M_F,0.13,0.0388936
EBS_SKATE,female,18,sel_F,1,0.0228165
EBS_SKATE,female,18,wt_mature_F,6.97493,-0.0638908
EBS_SKATE,female,19,M_F,0.13,0.0314566
EBS_SKATE,female,19,sel_F,1,0.0184537
EBS_SKATE,female,19,wt_mature_F,7.13211,-0.0524331
EBS_SKATE,female,20,M_F,0.13,0.0253807
EBS_SKATE,female,20,sel_F,1,0.0148893
EBS_SKATE,female,20,wt_mature_F,7.2311,-0.0426698
EBS_SKATE,female,21,M_F,0.13,0.0204466
EBS_SKATE,female,21,sel_F,1,0.0119947
EBS_SKATE,female,21,wt_mature_F,7.30195,-0.034587
EBS_SKATE,female,22,M_F,0.13,0.0164523
EBS_SKATE,female,22,sel_F,1,0.00965156
EBS_SKATE,female,22,wt_mature_F,7.35502,-0.0279665
EBS_SKATE,female,23,M_F,0.13,0.013228
EBS_SKATE,female,23,sel_F,1,0.00776008
EBS_SKATE,female,23,wt_mature_F,7.38484,-0.0225419
EBS_SKATE,female,24,M_F,0.13,0.0106299
EBS_SKATE,female,24,sel_F,1,0.00623587
EBS_SKATE,female,24,wt_mature_F,7.41104,-0.0181606
EBS_SKATE,female,25,M_F,0.13,0.00853839
EBS_SKATE,female,25,sel_F,1,0.00500894
EBS_SKATE,female,25,wt_mature_F,7.42553,-0.0146079
EBS_SKATE,female,26,M_F,0.13,0.0347712
EBS_SKATE,female,26,sel_F,1,0.0203981
EBS_SKATE,female,26,wt_mature_F,7.44005,-0.0595933
