
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
186923 74769.2 65423.1 31317.9 30278.5 126277 
CV Recruit
0.185282 
Alternative 1 Alternative  Stock: EBS_SKATE
Catch EBS_SKATE
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2014  0 26700.5 28654.2 26060 26060 26060 26060 1.81899e-11 
2015  0 26700.5 28654.2 34388.9 34388.9 34388.9 34388.9 5.82077e-11 
2016  0 26700.5 28654.2 32195.3 32198.6 32199 32203.2 2.44238 
2017  0 26700.5 28654.2 30029.9 30045.7 30047.8 30067.8 12.0256 
2018  0 26700.5 28654.2 28086.9 28143.1 28148.6 28215.7 43.2226 
2019  0 26700.5 28654.2 26497.6 26661 26671.1 26850.7 118.405 
2020  0 26700.5 28654.2 25315.6 25644.4 25683.2 26069.7 248.885 
2021  0 26700.5 28654.2 24532.6 25073.7 25138.2 25774.2 415.925 
2022  0 26700.5 28654.2 24022.1 24882.4 24921.7 25772.7 584.985 
2023  0 26700.5 28654.2 23798 24924.3 24914.8 26183.2 733.788 
2024  0 26700.5 28654.2 22703.1 24075.1 24116.9 25782.8 967.957 
2025  0 26700.5 28654.2 22172.8 23683.7 23824.5 25715.4 1150.77 
2026  0 26700.5 28654.2 22015.8 23885.7 23975.2 26069.4 1336.86 
2027  0 26700.5 28654.2 22278 24279.2 24369.9 27109.7 1498.32 

Spawning_Biomass EBS_SKATE
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2014 186923 74769.2 65423.1 116996 116996 116996 116996 7.27596e-11 
2015 186923 74769.2 65423.1 115490 115490 115490 115490 1.45519e-11 
2016 186923 74769.2 65423.1 112195 112195 112195 112195 7.27596e-11 
2017 186923 74769.2 65423.1 108234 108234 108234 108234 1.16415e-10 
2018 186923 74769.2 65423.1 103451 103451 103451 103451 7.27596e-11 
2019 186923 74769.2 65423.1 97854.1 97854.1 97854.1 97854.1 1.30967e-10 
