strata,model_name,year,variable,pred,pred_lci,pred_uci
Aleutian,Model 20,1982,biomass_pred,6704.753691039461,1296.3441549324225,34677.30531777704
Aleutian,Model 20,1983,biomass_pred,14456.143378379804,9966.468721503254,20968.317587290192
Aleutian,Model 20,1984,biomass_pred,8938.255703141276,4215.48617090208,18952.123616536792
Aleutian,Model 20,1985,biomass_pred,6190.549500730456,3086.855896863193,12414.86625920476
Aleutian,Model 20,1986,biomass_pred,4261.644657746972,1789.7529439841726,10147.55430348599
Aleutian,Model 20,1987,biomass_pred,4678.732878083432,2390.3491540823748,9157.884448417488
Aleutian,Model 20,1988,biomass_pred,4646.566430949217,1999.7506384390667,10796.635931606439
Aleutian,Model 20,1989,biomass_pred,3774.484134965236,1129.9235088447888,12608.579584001964
Aleutian,Model 20,1990,biomass_pred,3066.0770047774545,992.6458287107989,9470.475699710976
Aleutian,Model 20,1991,biomass_pred,2490.6259671725143,1664.6140242878073,3726.5201529273572
Aleutian,Model 20,1992,biomass_pred,2879.8394494615754,958.0572998910476,8656.554525098145
Aleutian,Model 20,1993,biomass_pred,3329.875848074581,1098.821430039537,10090.878154052243
Aleutian,Model 20,1994,biomass_pred,3850.2400422577252,2418.6827306025925,6129.100024339048
Aleutian,Model 20,1995,biomass_pred,13693.041827181047,5230.685921025589,35846.043389308754
Aleutian,Model 20,1996,biomass_pred,48698.105163069886,33102.35013040668,71641.60360611466
Aleutian,Model 20,1997,biomass_pred,54777.35459635212,37367.37426671127,80298.88734375287
Aleutian,Model 20,1998,biomass_pred,8596.015093673197,1688.6197032376238,43758.50604430575
Aleutian,Model 20,1999,biomass_pred,7160.403927303398,1961.511921022111,26138.706501169392
Aleutian,Model 20,2000,biomass_pred,5964.552626237066,3669.3518082627807,9695.414855299618
Aleutian,Model 20,2001,biomass_pred,8336.663569781453,2992.061635878724,23228.11757696634
Aleutian,Model 20,2002,biomass_pred,24025.97477187945,17490.221724495503,33004.01063129679
Aleutian,Model 20,2003,biomass_pred,20788.46427170344,10734.386819363473,40259.42553107254
Aleutian,Model 20,2004,biomass_pred,26609.590194305823,18825.77951793594,37611.73818243727
Aleutian,Model 20,2005,biomass_pred,13296.047885234317,5815.490762902827,30398.963144118385
Aleutian,Model 20,2006,biomass_pred,11749.892564936086,7851.144111227017,17584.695087957516
Aleutian,Model 20,2007,biomass_pred,8031.678607240713,3060.8554717293746,21075.108526297507
Aleutian,Model 20,2008,biomass_pred,20629.084370644934,14824.314351912399,28706.833373125835
Aleutian,Model 20,2009,biomass_pred,14350.148088622855,5075.967105698711,40568.96860781768
Aleutian,Model 20,2010,biomass_pred,28982.219569812398,21980.04483217591,38215.07451901153
Aleutian,Model 20,2011,biomass_pred,19616.646570120112,7169.495177950775,53673.62877102799
Aleutian,Model 20,2012,biomass_pred,31923.919515708145,26282.33633654084,38776.48562880941
Aleutian,Model 20,2013,biomass_pred,14606.471690742825,7749.816030685492,27529.55868987257
Aleutian,Model 20,2014,biomass_pred,15393.932331769764,10029.307251384424,23628.067890969764
Aleutian,Model 20,2015,biomass_pred,15854.588743181608,7754.328773835159,32416.47234040331
Aleutian,Model 20,2016,biomass_pred,38959.99142541115,29801.0811877497,50933.75378917676
Aleutian,Model 20,2017,biomass_pred,32423.41739816772,16197.589900179953,64903.35921914689
Aleutian,Model 20,2018,biomass_pred,24506.005907447012,15713.9046573494,38217.38381586483
Aleutian,Model 20,2019,biomass_pred,15808.358698242937,9599.012494149058,26034.366023029837
Aleutian,Model 20,2020,biomass_pred,16572.312750873272,6236.07172730407,44040.793936070986
Aleutian,Model 20,2021,biomass_pred,17373.185613714762,11014.747003386585,27402.134454453288
Aleutian,Model 20,2022,biomass_pred,19188.101934415932,12747.4262856323,28882.948416067164
Aleutian,Model 20,2023,biomass_pred,19188.101934415932,4953.273536259055,74331.29891784771
Aleutian,Model 20,2024,biomass_pred,19188.101934415932,2954.3442829424266,124624.35673842263
Bering,Model 20,1982,biomass_pred,2100.0134478785044,460.8399246478884,9569.605942106977
Bering,Model 20,1983,biomass_pred,2100.0134478785044,947.4475645554073,4654.670766228627
Bering,Model 20,1984,biomass_pred,1433.5848463940483,419.04638240110455,4904.386717371719
Bering,Model 20,1985,biomass_pred,1796.7961840008593,647.7952680472413,4983.791463269244
Bering,Model 20,1986,biomass_pred,5071.124933561908,1744.6944794850729,14739.719987755776
Bering,Model 20,1987,biomass_pred,22217.943082843067,14760.803669282039,33442.4199313576
Bering,Model 20,1988,biomass_pred,7374.278355791746,3592.3879995994203,15137.557879260934
Bering,Model 20,1989,biomass_pred,3879.9440636456975,930.7285485606063,16174.389364440149
Bering,Model 20,1990,biomass_pred,2041.4154729046998,328.60604343045475,12681.985667426385
Bering,Model 20,1991,biomass_pred,1074.0817559877237,131.4731259466035,8774.80937826196
Bering,Model 20,1992,biomass_pred,902.8993024620348,129.90536965208153,6275.546211598553
Bering,Model 20,1993,biomass_pred,1034.0261358803104,229.10277695850095,4666.944957534234
Bering,Model 20,1994,biomass_pred,1184.1963403538277,536.7828700959515,2612.4547757210094
Bering,Model 20,1995,biomass_pred,2904.639549166144,1051.8777134284817,8020.828659902717
Bering,Model 20,1996,biomass_pred,7124.60478307104,4871.134447176064,10420.569143679819
Bering,Model 20,1997,biomass_pred,6991.005317885808,4972.523638400137,9828.843241141925
Bering,Model 20,1998,biomass_pred,3359.9045242089514,1513.8230252617755,7457.2510943593725
Bering,Model 20,1999,biomass_pred,8664.975823351686,5989.554163551661,12535.458227619987
Bering,Model 20,2000,biomass_pred,15949.245666681581,11849.313411226143,21467.77863898518
Bering,Model 20,2001,biomass_pred,14205.806177762226,10846.298326302032,18605.88037402355
Bering,Model 20,2002,biomass_pred,15356.216622562557,11970.834217866755,19698.993793357316
Bering,Model 20,2003,biomass_pred,13164.193012308046,10518.817376262034,16474.85372798462
Bering,Model 20,2004,biomass_pred,13064.791597390185,10711.589998560643,15934.96199034628
Bering,Model 20,2005,biomass_pred,8570.34340230996,6154.097154591461,11935.265919342459
Bering,Model 20,2006,biomass_pred,11111.672855525185,8755.99668495866,14101.110140929452
Bering,Model 20,2007,biomass_pred,9405.168424718313,7249.658264411439,12201.567283737304
Bering,Model 20,2008,biomass_pred,11916.551177312374,9283.822970719802,15295.874599221803
Bering,Model 20,2009,biomass_pred,12575.773410426966,9012.968384097398,17546.946813820407
Bering,Model 20,2010,biomass_pred,13438.339550590523,10705.08530625767,16869.456404182227
Bering,Model 20,2011,biomass_pred,9949.391692612351,7278.101333678453,13601.128991562495
Bering,Model 20,2012,biomass_pred,13079.144313880322,10273.902849681346,16650.343933183452
Bering,Model 20,2013,biomass_pred,12013.579953209293,7494.471297431361,19257.676434309415
